# iMC	d
0	14.9802
1	26.0499
2	27.3754
3	10.8261
4	18.2696
5	10.2076
6	8.37344
7	1.18235
8	0.325981
9	4.99705
10	3.92587
11	3.85629
12	5.98732
13	8.19654
14	7.29772
15	12.9293
16	4.05921
17	8.93349
18	19.3265
19	30.5018
20	2.2902
21	2.6244
22	13.6275
23	7.08639
24	8.80811
25	16.1069
26	8.21774
27	9.5976
28	11.5303
29	3.43772
30	27.9046
31	15.8734
32	35.9918
33	9.0439
34	4.98531
35	23.3036
36	2.38368
37	7.00576
38	9.3075
39	3.276
40	27.0835
41	12.9745
42	11.5597
43	16.6842
44	11.99
45	4.45297
46	1.50856
47	8.748
48	8.5658
49	6.41364
50	4.37329
51	6.0152
52	10.5634
53	13.6243
54	9.26139
55	13.8244
56	7.62633
57	2.8583
58	10.5716
59	4.61551
60	12.3113
61	39.0181
62	4.02674
63	19.0011
64	7.56972
65	5.55505
66	5.52196
67	9.71967
68	5.94094
69	7.01721
70	5.13671
71	13.4984
72	4.55692
73	4.83977
74	5.24147
75	13.4277
76	11.8918
77	11.1334
78	13.1626
79	5.05323
80	3.91973
81	10.1615
82	24.4772
83	6.98261
84	3.47835
85	3.66958
86	3.07385
87	8.11273
88	13.8736
89	9.57437
90	2.07621
91	7.9109
92	6.45803
93	3.72207
94	5.34303
95	11.0737
96	22.6209
97	5.3447
98	12.3591
99	12.1382
100	9.49756
